dim1,dim2,Species
-1.42683058007657,2.39910115174097,nz.backgr
-1.01816567657533,2.31017109579223,nz.backgr
-1.48364374463992,2.29411684071971,nz.backgr
-1.46756642830016,2.30591282853577,nz.backgr
-1.24629067392923,2.35580671419071,nz.backgr
-1.12641754520403,2.32721753088394,nz.backgr
-1.0996916972495001,2.31756868587144,nz.backgr
-1.04629672379288,2.33743454375679,nz.backgr
-1.53784694684812,2.31435713454319,nz.backgr
-1.4585627321291,2.3141141015152,nz.backgr
-1.34310313873314,2.31290541809992,nz.backgr
-1.25377938485158,2.33928916030784,nz.backgr
-1.32583531490862,2.36195374859302,nz.backgr
-1.22384468466945,2.35902526846191,nz.backgr
-1.18652015209119,2.36350784339587,nz.backgr
-1.03746010982776,2.33404063854035,nz.backgr
-1.46944015611294,2.32481187703606,nz.backgr
-1.28665940623729,2.33212119958402,nz.backgr
-1.29747807416655,2.36456437781847,nz.backgr
-1.19407102011088,2.34749850301207,nz.backgr
-1.22759910600859,2.35463563344101,nz.backgr
-1.31842266507768,2.3305267300227,nz.backgr
-1.33168727991177,2.33897816046148,nz.backgr
-1.34258068864999,2.34443492800101,nz.backgr
-1.22747523424857,2.34136272494164,nz.backgr
-1.29021035987307,2.32122004854111,nz.backgr
-1.18718741488834,2.28239598414793,nz.backgr
-1.21321611878003,2.30978681439544,nz.backgr
-1.28834066615955,2.28041882503331,nz.backgr
-1.207199464836,2.25846887524674,nz.backgr
-1.18960621400612,2.30192054677822,nz.backgr
-1.14705465826925,2.27868629405806,nz.backgr
-1.22390047417441,2.21103256149725,nz.backgr
-1.22520044015008,2.22367788219402,nz.backgr
-1.15980527234163,2.23047612903583,nz.backgr
-1.28331184568543,2.23640085755095,nz.backgr
-1.25241416929342,2.20966254427974,nz.backgr
-1.25463877236128,2.2090772178112,nz.backgr
-1.17270122506127,2.2169518744865,nz.backgr
-1.25746610647603,2.23931588986898,nz.backgr
-1.23690253105248,2.20848555864065,nz.backgr
-1.14795210510813,2.20143238699865,nz.backgr
-1.15814556672443,2.2068615474933,nz.backgr
-1.27049050937558,2.20472354061138,nz.backgr
-1.25154251520559,2.18430347691255,nz.backgr
-1.20368233302437,2.16730395409097,nz.backgr
-0.446274470451794,2.07967495371599,nz.backgr
-1.26832998598946,2.18884883864197,nz.backgr
-1.25221266553844,2.17482993714396,nz.backgr
-1.19898302158067,2.17860297921914,nz.backgr
-0.556570165938614,2.09314085708953,nz.backgr
-0.424999582054625,2.05748557377319,nz.backgr
-0.389709356869755,2.04125937369328,nz.backgr
-1.27540335073558,2.16796094469008,nz.backgr
-1.24824990568547,2.16818702166612,nz.backgr
-1.1623569791118,2.1746769283547698,nz.backgr
-1.12206121133663,2.17302074323264,nz.backgr
-1.0370676231221,2.14270806794321,nz.backgr
-0.771025524053982,2.09876135089227,nz.backgr
-0.662730863702914,2.08894923057869,nz.backgr
-1.24792581872667,2.12440462740954,nz.backgr
-1.28062018749443,2.1455760350915,nz.backgr
-1.19572649317378,2.13842181636733,nz.backgr
-0.674203674273815,2.05683835594162,nz.backgr
-0.18779182339881,1.92798791763863,nz.backgr
-0.149598308711,1.92769633482647,nz.backgr
-1.29265908075262,2.1029572795077,nz.backgr
-1.29491010329958,2.10229800195814,nz.backgr
-1.2917887901696,2.13719946807923,nz.backgr
